mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,spectral_centroid,chroma,label
-310.40796,43.036842,-18.052128,8.644586,-30.47272,-6.5417275,-12.117187,-9.478479,-5.3996997,-17.2626,-10.453364,-4.147437,-6.144251,0.17813754300458715,2186.3981489543244,0.36764178,bonafide
-330.95712,50.894707,-19.692842,10.769039,-16.535868,-5.0343113,-14.371911,-6.45469,-6.7683625,-14.92521,-7.348011,-1.8287382,-6.3184347,0.15682673799818841,1974.518850745473,0.37941337,bonafide
-352.31696,18.40212,0.24402808,8.82298,-8.674293,-6.4960365,-6.2444396,-3.9179058,-7.031027,-14.812758,-2.998174,-0.43872184,-8.049462,0.2350349845467033,2800.262164688475,0.4162964,bonafide
-280.84598,48.76897,-7.991324,21.069437,-34.162148,-4.5676136,-8.792074,-16.917732,-13.749958,-18.340757,-11.731433,-7.322227,-10.476175,0.20415150035511365,2258.0822783311514,0.34318694,bonafide
-301.7084,63.26499,-9.56145,-3.2894545,-17.74368,-2.535605,-13.747503,-12.589027,-6.8801994,-17.925976,-10.377601,-1.8397093,-9.889489,0.17837661880630631,2104.0975761301625,0.3936338,bonafide
-367.59106,40.75547,-19.880438,11.534455,-21.671137,-4.9921227,-14.23973,0.4120307,-4.8298426,-10.816035,-2.6850603,-4.8315425,-3.772096,0.1442011443661972,2096.677681094839,0.42699277,bonafide
-358.54123,54.25224,-17.832392,2.0190966,-21.87023,5.574147,-10.709361,-8.038539,-1.4921062,-9.96586,-10.054675,-4.712094,-6.896396,0.13859899720149255,1989.2506723853528,0.38924548,bonafide
-381.37393,44.962322,-15.172224,1.8341379,-18.841152,3.5396383,-14.484009,-4.177449,-0.57470125,-10.340633,-5.6658044,-0.84876543,-6.0197167,0.16022600446428573,2202.639495524948,0.43838528,bonafide
-309.0898,42.494724,-20.55219,13.044256,-26.560846,-1.7212542,-11.442451,-9.266086,-6.9149423,-13.969293,-3.934987,-3.1948252,-7.065208,0.16216271664915966,2098.1563998782885,0.3506895,bonafide
-326.02167,46.08073,-19.219427,7.984443,-25.174938,-1.2644638,-15.62187,-6.282362,-10.833382,-15.523374,-6.131639,-6.1170506,-9.196434,0.19756242340686275,2337.0657889833915,0.40397072,bonafide
-337.48557,41.275005,-21.909426,37.492867,-32.57647,-5.5090613,-13.239379,-8.621356,-13.171202,-22.840122,-4.5473914,-7.8332787,-5.214173,0.1334988576061321,2196.0597449600054,0.3733176,bonafide
-345.3837,49.751434,-10.767674,20.649347,-17.975199,-6.8762302,-10.738582,-4.3415866,-7.7792745,-13.503456,-3.0365932,-5.640127,-5.7028656,0.12215677897135417,1935.216779260187,0.4323863,bonafide
-341.96057,40.58851,-13.289737,8.692045,-13.018138,-2.127993,-15.125535,-4.680589,-3.1444962,-12.622243,-3.6214838,-1.7055646,-6.9722853,0.18515875400641027,2353.9871016081006,0.45664495,bonafide
-319.67673,49.616352,-16.366388,20.6473,-28.944077,0.76243186,-14.753455,-9.006136,-11.295352,-12.805446,-6.538961,-6.022307,-7.8681417,0.14629109700520834,2175.4857148924807,0.42622244,bonafide
